Category,File Name,Title,Creator,Description,Keywords,Artwork_Type,SpacesSet
SET 19,5508326098.jpg,_MG_9977wtmk,www.ThruMarzenasLens.com,NA,"www.ThruMarzenasLens.com: bw,www.ThruMarzenasLens.com: exhibit,www.ThruMarzenasLens.com: light,www.ThruMarzenasLens.com: reflection,www.ThruMarzenasLens.com: sepia,www.ThruMarzenasLens.com: shadows,www.ThruMarzenasLens.com: water,www.ThruMarzenasLens.com: windows,www.ThruMarzenasLens.com: wwwthrumarzenaslenscom,www.ThruMarzenasLens.com: marzenag,3D,Artwork,Stylized,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5508326142.jpg,_MG_0035-Editwtmk,www.ThruMarzenasLens.com,NA,"www.ThruMarzenasLens.com: bw,www.ThruMarzenasLens.com: light,www.ThruMarzenasLens.com: reflection,www.ThruMarzenasLens.com: shadows,www.ThruMarzenasLens.com: wwwthrumarzenaslenscom,www.ThruMarzenasLens.com: marzenag,3D,Artwork,Stylized,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5508328738.jpg,_MG_9954_,www.ThruMarzenasLens.com,NA,"www.ThruMarzenasLens.com: bw,www.ThruMarzenasLens.com: exhibit,www.ThruMarzenasLens.com: light,www.ThruMarzenasLens.com: reflection,www.ThruMarzenasLens.com: sepia,www.ThruMarzenasLens.com: shadows,www.ThruMarzenasLens.com: water,www.ThruMarzenasLens.com: windows,www.ThruMarzenasLens.com: wwwthrumarzenaslenscom,www.ThruMarzenasLens.com: marzenag,Stylized,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5508328762.jpg,_MG_9963_,www.ThruMarzenasLens.com,NA,"www.ThruMarzenasLens.com: bw,www.ThruMarzenasLens.com: exhibit,www.ThruMarzenasLens.com: light,www.ThruMarzenasLens.com: reflection,www.ThruMarzenasLens.com: sepia,www.ThruMarzenasLens.com: shadows,www.ThruMarzenasLens.com: water,www.ThruMarzenasLens.com: windows,www.ThruMarzenasLens.com: wwwthrumarzenaslenscom,www.ThruMarzenasLens.com: marzenag,3D,Artwork,Stylized,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5508328804.jpg,_MG_9966,www.ThruMarzenasLens.com,NA,"www.ThruMarzenasLens.com: bw,www.ThruMarzenasLens.com: exhibit,www.ThruMarzenasLens.com: light,www.ThruMarzenasLens.com: reflection,www.ThruMarzenasLens.com: sepia,www.ThruMarzenasLens.com: shadows,www.ThruMarzenasLens.com: water,www.ThruMarzenasLens.com: windows,www.ThruMarzenasLens.com: wwwthrumarzenaslenscom,www.ThruMarzenasLens.com: marzenag,3D,Artwork,Stylized,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5532614043.jpg,IMG_4069,artcphoto,"Spanish Court Yard - Metropolitan Museum of Art - Upper East Side - Manhattan - NYC;;For an easy viewing of my stream, go to:;;<a href=http://www.fluidr.com/photos/artcphoto rel=nofollow>www.fluidr.com/photos/artcphoto</a>;;","NA,3D,Artwork,Description,MetropolitanInDesc,Inhabited,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 19,5557243420.jpg,"The Metropolitan Museum of Art, Manhattan, NY",Moon Memento   ,Temple of Dendur .,"Moon Memento : 2011,Moon Memento : art,Moon Memento : metropolitan,Moon Memento : installation,Moon Memento : painting,Moon Memento : ny,Moon Memento : nyc,Moon Memento : manhattan,Moon Memento : sculpture,Moon Memento : modern,Moon Memento : vangogh,Moon Memento : newyorkcity,Moon Memento : themetropolitanmuseumofart,Moon Memento : traveling,Moon Memento : bus,Moon Memento : trains,Moon Memento : adventures,Moon Memento : travel,Moon Memento : newyork,Moon Memento : thebigapple,Moon Memento : nycity,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5575771808.jpg,Metropolitan Museum of Art Pool,pineconemonk,NA,"pineconemonk: xa2,pineconemonk: olympus,pineconemonk: fomapan,pineconemonk: 400asa,pineconemonk: lomo,pineconemonk: lab,pineconemonk: processing,pineconemonk: ny,pineconemonk: new,pineconemonk: york,pineconemonk: nyc,pineconemonk: march,pineconemonk: 2011,pineconemonk: black,pineconemonk: white,pineconemonk: bw,pineconemonk: digital,pineconemonk: millennium,pineconemonk: copyright,pineconemonk: act,pineconemonk: dmca,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5575772492.jpg,Metropolitan Museum of Art,pineconemonk,NA,"pineconemonk: xa2,pineconemonk: olympus,pineconemonk: fomapan,pineconemonk: 400asa,pineconemonk: lomo,pineconemonk: lab,pineconemonk: processing,pineconemonk: ny,pineconemonk: new,pineconemonk: york,pineconemonk: nyc,pineconemonk: march,pineconemonk: 2011,pineconemonk: black,pineconemonk: white,pineconemonk: bw,pineconemonk: digital,pineconemonk: millennium,pineconemonk: copyright,pineconemonk: act,pineconemonk: dmca,3D,Artwork,Egyptian,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5622056277.jpg,met,branko_,branko;<a href=http://www.a2b1.com rel=nofollow>www.a2b1.com</a>;youtube channel: <a href=http://www.youtube.com/a2b1 rel=nofollow>www.youtube.com/a2b1</a>  addl Gallery 241 - South Asian Hindu-Buddhist and Jain Sculpture Part of Asian Art,"branko_: metropolitanmuseum,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: manhattan,branko_: nyc,branko_: branko,branko_: leica,branko_: m9,3D,Artwork,Space,architecture,Art2or3",Architecture,DeptSpaces
SET 19,5622056401.jpg,met,branko_,branko;<a href=http://www.a2b1.com rel=nofollow>www.a2b1.com</a>;youtube channel: <a href=http://www.youtube.com/a2b1 rel=nofollow>www.youtube.com/a2b1</a>  addl Gallery 241 - South Asian Hindu-Buddhist and Jain Sculpture Part of Asian Art,"branko_: metropolitanmuseum,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: manhattan,branko_: nyc,branko_: branko,branko_: leica,branko_: m9,branko_: ceiling,3D,Artwork,Space,architecture,Art2or3",Architecture,DeptSpaces
SET 19,5623214803.jpg,-,-,                               ,"3D,Artwork,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 19,5623803754.jpg,-,-,-,"3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 19,5625944357.jpg,-,-,-,"3D,Artwork,Inhabited,Greek_Jaharis_Hall_153,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,2221117096.jpg,NYC - Metropolitan Museum of Art - Leon Levy and Shelby White Court,wallyg,"The April 20, 2007 unveiling of the 30,000 square foot Greek and Roman Galleries concluded a 15-year project and returned thousands of works from the Museums permanent collection to public view. Over 5,300 objects, created between about 900 B.C. and the early fourth century A.D., are displayed, tracing the parallel stories of the evolution of Greek art in the Hellenistic period and the arts of southern Italy and Etruria and culminating in the rich and varied world of the Roman Empire from from the Late Republican period and the Golden Age of Augustuss Principate to the conversion of Constantine the Great in A.D. 312. The centerpiece of the new installation is the Leon Levy and Shelby White Court, a monumental, peristyle cour court with a soaring two-story atrium that links the various galleries and themes. ;;The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building.;;In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list.;;The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. ;;National Historic Register #86003556 ","wallyg: metropolitanmuseumofart,wallyg: metropolitanmuseum,wallyg: museum,wallyg: art,wallyg: nyc,wallyg: gothamist,wallyg: newyorkcity,wallyg: manhattan,wallyg: landmark,wallyg: artmuseum,wallyg: museummile,wallyg: themet,wallyg: ues,wallyg: uppereastside,wallyg: nyclpc,wallyg: newyorkcitylandmarkspreservationcommission,wallyg: ny,wallyg: leonlevyandshelbywhitecourt,wallyg: greekandromangalleries,wallyg: roman,wallyg: statue,wallyg: sculpture,wallyg: newyork,wallyg: nationalregisterofhistoricplaces,wallyg: nrhp,wallyg: usnationalregisterofhistoricplaces,wallyg: nationalhistoriclandmark,wallyg: nhl,wallyg: usnationalhistoriclandmark,3D,Artwork,Description,Roman_LevyWhite_Court_162,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,2367967816.jpg,March 18: Roman Art,allisonmeier,Metropolitan Museum of Art,"allisonmeier: project365,allisonmeier: 365,allisonmeier: metropolitan,allisonmeier: museum,allisonmeier: roman,allisonmeier: greek,allisonmeier: sculpture,allisonmeier: judioclaudian,allisonmeier: met,allisonmeier: nyc,allisonmeier: newyork,allisonmeier: art,allisonmeier: rome,allisonmeier: metropolitanmuseum,allisonmeier: greekromanart,allisonmeier: gallery,3D,Artwork,Description,Roman_LevyWhite_Court_162,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,3300318091.jpg,MET,mlesguerra,"The Metropolitan Museum of Art, New York","mlesguerra: art,mlesguerra: travel,mlesguerra: fotocultura,mlesguerra: culture,3D,Artwork,Description,2D,Modern_Levine_Court_915,Space,Art2or3,painting_and_sculpture",Painting,DeptSpaces
SET 20,5391903496.jpg,"Metropolitan Museum of Art, Manhattan, May 15, 2010.",NYC-Man,Equestrian Court.,"NYC-Man: museum,NYC-Man: art,NYC-Man: metropolitan,NYC-Man: metropolitanmuseumofart,NYC-Man: manhattan,NYC-Man: nyc,NYC-Man: newyorkcity,NYC-Man: usa,NYC-Man: metropolitanmuseum,3D,Artwork,Space,Arms_Armor,Art2or3,arms_armor",Arms_Armor,DeptSpaces
SET 20,5392845423.jpg,Egyptian Statues Watch,LisaSez,NA,"LisaSez: manhattan,LisaSez: metropolitanmuseumofart,LisaSez: newyork,3D,Artwork,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5399340561.jpg,Pharoh Reflections,photonexploiter,NA,"NA,3D,Artwork,People,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5428257593.jpg,HORSES AT MET.,soyjoyjimenez,NA,"NA,3D,Artwork,Space,Arms_Armor,Art2or3,arms_armor",Arms_Armor,DeptSpaces
SET 20,5429609243.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"NA,3D,Artwork,People,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5430215526.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"NA,3D,Artwork,People,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5437136129.jpg,met,branko_,NA,"branko_: egypt,branko_: egyptian,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitan,branko_: museum,branko_: art,3D,Artwork,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5437136175.jpg,met,branko_,NA,"branko_: egypt,branko_: egyptian,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitan,branko_: museum,branko_: art,3D,Artwork,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5437745682.jpg,met,branko_,NA,"branko_: egypt,branko_: egyptian,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitan,branko_: museum,branko_: art,3D,Artwork,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5437745736.jpg,walk like an egyptian,branko_,NA,"branko_: walk,branko_: like,branko_: an,branko_: egyptian,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitan,branko_: museum,branko_: art,3D,Artwork,People,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5449735917.jpg,WITHIN THE METROPOLITAN MUSEUM OF ART,James Chan JC Inspiration,"This was shot within the Metropolitan Museum of Art. I believe it's a smart idea to get yourself a Gorillapod if you enjoy visiting museums. Chances are, museums do not allow tripods around. Plus, I don't really trust my hand when it comes to low light environments, especially when the shutter had to stay open for more than one second to get a proper exposure.;;James Chan;<a href=http://www.jcinspiration.com rel=nofollow>www.jcinspiration.com</a>","'James Chan ''JC Inspiration'': unitedstates,James Chan ''JC Inspiration'': jameschan,James Chan ''JC Inspiration'': jcinspiration,James Chan ''JC Inspiration'': newyorkcity,James Chan ''JC Inspiration'': hdr,James Chan ''JC Inspiration'': jc,James Chan ''JC Inspiration'': ny,James Chan ''JC Inspiration'': architecture,James Chan ''JC Inspiration'': art,James Chan ''JC Inspiration'': chan,James Chan ''JC Inspiration'': city,James Chan ''JC Inspiration'': design,James Chan ''JC Inspiration'': golden,James Chan ''JC Inspiration'': inspiration,James Chan ''JC Inspiration'': james,James Chan ''JC Inspiration'': metropolitan,James Chan ''JC Inspiration'': museum,James Chan ''JC Inspiration'': new,James Chan ''JC Inspiration'': sightseeing,James Chan ''JC Inspiration'': statute,James Chan ''JC Inspiration'': travel,James Chan ''JC Inspiration'': usa,James Chan ''JC Inspiration'': world,James Chan ''JC Inspiration'': york,',3D,Artwork,Description,Stylized,People,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 20,5451017125.jpg,0168 - Statue of a Boy,mister-tim,"Metropolitan Museum of Art, New York.","mister-tim: newyork,mister-tim: newyorkcity,mister-tim: nyc,mister-tim: bigapple,mister-tim: manhattan,mister-tim: newyorkstate,mister-tim: unitedstates,mister-tim: unitedstatesofamerica,mister-tim: usa,mister-tim: northamerica,mister-tim: americas,mister-tim: metropolitanmuseumofart,mister-tim: themet,mister-tim: statue,mister-tim: ancientgreek,mister-tim: youngmale,3D,Artwork,Description,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5451019307.jpg,155,mister-tim,NA,"mister-tim: newyork,mister-tim: newyorkcity,mister-tim: nyc,mister-tim: bigapple,mister-tim: manhattan,mister-tim: newyorkstate,mister-tim: unitedstates,mister-tim: unitedstatesofamerica,mister-tim: usa,mister-tim: northamerica,mister-tim: americas,mister-tim: metropolitanmuseumofart,mister-tim: themet,mister-tim: blackandwhite,mister-tim: person,mister-tim: statues,mister-tim: shade,mister-tim: columns,3D,Artwork,People,Roman_LevyWhite_Court_162,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5451438797.jpg,The MET,georgiegrrrl,NA,"georgiegrrrl: metropolitanmuseum,3D,Artwork,People,Space,Roman_LevyWhite_Court_162,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5456606922.jpg,Longing for a Muse,CVerwaal,"Marble portrait of a man, Roman, Antonine or early Severan period, with in the background a marble of a Muse. Metropolitan Museum of Art.;","CVerwaal: art,CVerwaal: romanart,CVerwaal: marble,CVerwaal: sculpture,CVerwaal: nyc,CVerwaal: newyork,CVerwaal: newyorkcity,CVerwaal: olympus,CVerwaal: pen,CVerwaal: mzuiko17mmf28,CVerwaal: olympusep1,CVerwaal: metropolitanmuseumofart,3D,Artwork,Description,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5461381762.jpg,NA,lily_bart,NA,"lily_bart: newyorkcity,lily_bart: nyc,lily_bart: manhattan,lily_bart: europeansculpturedecorativearts,lily_bart: metropolitanmuseum,lily_bart: statue,lily_bart: french,lily_bart: metropolitanmuseumofart,3D,Artwork,Period_Rooms,Space,Art2or3,period_room",Period_Room,DeptSpaces
SET 20,5474701607.jpg,Suit of Amor - The Metropolitan Museum of Art - Sassy Mouth Photography,Sassy Mouth Photography,Metropolitan Museum of Art - Sassy Mouth Photography,"Sassy Mouth Photography: metropolitanmuseumofart,Sassy Mouth Photography: newyorkcit,Sassy Mouth Photography: artwork,Sassy Mouth Photography: new,Sassy Mouth Photography: city,Sassy Mouth Photography: sassy,Sassy Mouth Photography: mouth,Sassy Mouth Photography: photography,3D,Artwork,Description,Space,Arms_Armor,Art2or3,arms_armor",Arms_Armor,DeptSpaces
SET 20,5475249299.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"NA,3D,Artwork,People,Greek_Jaharis_Hall_153,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5475249511.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"NA,3D,Artwork,People,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5475855564.jpg,The Metropolitan Museum of Art,Alex E. Pajares,NA,"NA,3D,Artwork,People,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 20,5483575885.jpg,My Photographer at the MET,Alana1972,"NA   addl similar Panoramic View of the Palace and Gardens of Versailles John Vanderlyn (American, Kingston, New York 1775-1852 Kingston, New York) Date: 1818-19 Medium: Oil on canvas Accession Number: 52.184 On view in Gallery 735","Alana1972: newyork,Alana1972: newyorkcity,Alana1972: metropolitanmuseumofart,Alana1972: photograher,Alana1972: photography,Alana1972: painting,Alana1972: panoramic,Alana1972: metropolitanmuseum,Artwork,People,Space,Art2or3,painting,2D",Painting,DeptSpaces
SET 21,5336502915.jpg,They're coming for you!,screaming_monkey,NA,"screaming_monkey: met,screaming_monkey: newyork,screaming_monkey: metropolitanmuseum,3D,Artwork,Space,Arms_Armor,Art2or3,arms_armor",Arms_Armor,DeptSpaces
SET 21,5342844503.jpg,It's Time We Met,christiNYCa,NA,"christiNYCa: itstimewemet,christiNYCa: metropolitanmuseumofart,christiNYCa: metropolitan,christiNYCa: museumofart,christiNYCa: met,christiNYCa: themet,christiNYCa: nyc,christiNYCa: art,christiNYCa: museummile,christiNYCa: manhattan,christiNYCa: gothamist,christiNYCa: newyorkcity,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5343452632.jpg,It's Time We Met,christiNYCa,NA,"christiNYCa: itstimewemet,christiNYCa: metropolitanmuseumofart,christiNYCa: metropolitan,christiNYCa: museumofart,christiNYCa: met,christiNYCa: themet,christiNYCa: nyc,christiNYCa: art,christiNYCa: museummile,christiNYCa: manhattan,christiNYCa: gothamist,christiNYCa: newyorkcity,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5363595469.jpg,follow me,branko_,"roman period, ca, 15 b.c.","branko_: temple,branko_: dendur,branko_: isis,branko_: osiris,branko_: horus,branko_: roman,branko_: period,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: nyc,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitanmuseum,branko_: sekhmet,branko_: show1,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5363595625.jpg,the temple of dendur,branko_,"roman period, ca, 15 b.c.","branko_: temple,branko_: dendur,branko_: isis,branko_: osiris,branko_: horus,branko_: roman,branko_: period,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: nyc,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitanmuseum,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5363595715.jpg,the temple of dendur,branko_,"roman period, ca, 15 b.c.","branko_: temple,branko_: dendur,branko_: isis,branko_: osiris,branko_: horus,branko_: roman,branko_: period,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: nyc,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitanmuseum,3D,Artwork,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5364207654.jpg,the temple of dendur,branko_,"roman period, ca, 15 b.c.","branko_: temple,branko_: dendur,branko_: isis,branko_: osiris,branko_: horus,branko_: roman,branko_: period,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: nyc,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitanmuseum,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5364207866.jpg,the temple of dendur,branko_,"roman period, ca, 15 b.c.","branko_: temple,branko_: dendur,branko_: isis,branko_: osiris,branko_: horus,branko_: roman,branko_: period,branko_: metropolitan,branko_: museum,branko_: art,branko_: new,branko_: york,branko_: city,branko_: nyc,branko_: leica,branko_: m9,branko_: branko,branko_: metropolitanmuseum,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 21,5375432982.jpg,baile,Glr Mndz,NA,"Glr Mndz: metropolitanmuseumofart,Glr Mndz: newyork,Glr Mndz: sculpture,Glr Mndz: greek,Glr Mndz: roman,Glr Mndz: art,Glr Mndz: beauty,Glr Mndz: body,Glr Mndz: language,Glr Mndz: bare,Glr Mndz: essentials,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 22,4106796616.jpg,"Sphinx of Hatshepsut in the Metropolitan Museum of Art, June 2009",ElissaSCA,"Sphinx of Hatshepsut, New Kingdom, Dynasty 18, reign of Hatshepsut, ca. 14731458 b.c.;Egyptian;Red granite with traces of blue and yellow paint ;L. 11 ft. 3 in. (343 cm), H. 5 ft. 4 1/2 in. (164 cm);Rogers Fund, 1931 (31.3.166);;This colossal sphinx portrays the female pharaoh Hatshepsut with the body of a lion and a human head wearing a nemes headcloth and royal beard. The use of the sphinx to represent the king dates back to the Old Kingdom and the Great Sphinx of Giza. The sculptor has carefully observed the powerful muscles of the lion as contrasted to the handsome and attractive idealized face of the queen. It was one of six royal sphinxes that lined the processional way leading to the queen's mortuary temple at Deir el-Bahri. Recovered by the Museum's Egyptian Expedition, it was found smashed into many fragments and buried in pits near the temple. It weighs more than seven tons.;;Text from: <a href=http://www.metmuseum.org/toah/hd/kqae/ho_31.3.166.htm rel=nofollow>www.metmuseum.org/toah/hd/kqae/ho_31.3.166.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2009,ElissaSCA: egypt,ElissaSCA: egyptian,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: sphinx,ElissaSCA: hatshepsut,ElissaSCA: statue,ElissaSCA: sculpture,ElissaSCA: fujifinepixs6000fd,3D,Artwork,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 22,5099572213.jpg,patio from the castle of velez blanco,branko_,NA,"branko_: patio,branko_: from,branko_: castle,branko_: velez,branko_: blanco,branko_: branko,branko_: leica,branko_: m9,branko_: metropolitan,branko_: museum,branko_: art,branko_: metropolitanmuseum,3D,Artwork,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 22,5099572267.jpg,patio from the castle of velez blanco,branko_,NA,"branko_: patio,branko_: from,branko_: castle,branko_: velez,branko_: blanco,branko_: branko,branko_: leica,branko_: m9,branko_: metropolitan,branko_: museum,branko_: art,branko_: metropolitanmuseum,3D,Artwork,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 22,5100171968.jpg,patio from the castle of velez blanco,branko_,NA,"branko_: patio,branko_: from,branko_: castle,branko_: velez,branko_: blanco,branko_: branko,branko_: leica,branko_: m9,branko_: metropolitan,branko_: museum,branko_: art,branko_: metropolitanmuseum,3D,Artwork,Velez_Blanco_Patio,Space,Art2or3,architecture",Architecture,DeptSpaces
SET 22,5100172028.jpg,greek and roman galleries,branko_,NA,"branko_: greek,branko_: roman,branko_: galleries,branko_: branko,branko_: leica,branko_: m9,branko_: metropolitan,branko_: museum,branko_: art,branko_: metropolitanmuseum,3D,Artwork,Inhabited,Roman,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 22,5281566383.jpg,"Temple of Dendur -- MET Museum, NYC","Joe Josephs: 1,355,720 views - thank you",;<a href=http://www.joejosephs.com rel=nofollow>www.joejosephs.com</a>;<a href=http://www.smugmug.com/gallery/10555182_uKqYq#725981428_YnEm4 rel=nofollow>www.smugmug.com/gallery/10555182_uKqYq#725981428_YnEm4</a>;<a href=http://www.smugmug.com/gallery/11221478_oRuLZ#811096803_yxf5s rel=nofollow>www.smugmug.com/gallery/11221478_oRuLZ#811096803_yxf5s</a>,"'Joe Josephs: 1,355,720 views - thank you: metmuseumancientegypt,Joe Josephs: 1,355,720 views - thank you: egypt,Joe Josephs: 1,355,720 views - thank you: art,Joe Josephs: 1,355,720 views - thank you: artmuseums,Joe Josephs: 1,355,720 views - thank you: culture,Joe Josephs: 1,355,720 views - thank you: newyorkcity,Joe Josephs: 1,355,720 views - thank you: nikond700,Joe Josephs: 1,355,720 views - thank you: joejosephs,Joe Josephs: 1,355,720 views - thank you: metropolitanmuseum,Joe Josephs: 1,355,720 views - thank you: joejosephsphotography,Joe Josephs: 1,355,720 views - thank you: nikon,Joe Josephs: 1,355,720 views - thank you: nikoncamera,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs,Joe Josephs: 1,355,720 views - thank you: allrightsreserved,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephsphotography,',Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephspho,3D,Artwork,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 22,5325985509.jpg,Metropolitan Museum of Art - A building within a building,CarbZombie,NA,"CarbZombie: metropolitanmuseum,CarbZombie: ny,CarbZombie: metropolitanmuseumofart,3D,Artwork,Inhabited,Space,Art2or3,sculpture",Sculpture,DeptSpaces
SET 22,5331721441.jpg,Temple of Dendur III,"Joe Josephs: 1,355,720 views - thank you",<a href=http://www.joejosephs.com rel=nofollow>www.joejosephs.com</a>;<a href=http://www.smugmug.com/gallery/10555182_uKqYq#725981428_YnEm4 rel=nofollow>www.smugmug.com/gallery/10555182_uKqYq#725981428_YnEm4</a>;<a href=http://www.smugmug.com/gallery/11221478_oRuLZ#811096803_yxf5s rel=nofollow>www.smugmug.com/gallery/11221478_oRuLZ#811096803_yxf5s</a>,"'Joe Josephs: 1,355,720 views - thank you: met,Joe Josephs: 1,355,720 views - thank you: metmuseum,Joe Josephs: 1,355,720 views - thank you: art,Joe Josephs: 1,355,720 views - thank you: museumsnewyorkcity,Joe Josephs: 1,355,720 views - thank you: culture,Joe Josephs: 1,355,720 views - thank you: nikond700,Joe Josephs: 1,355,720 views - thank you: joejosephs,Joe Josephs: 1,355,720 views - thank you: metropolitanmuseum,Joe Josephs: 1,355,720 views - thank you: joejosephsphotography,Joe Josephs: 1,355,720 views - thank you: nikon,Joe Josephs: 1,355,720 views - thank you: nikoncamera,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs,Joe Josephs: 1,355,720 views - thank you: allrightsreserved,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephsphotography,',Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephspho,3D,Artwork,Stylized,Inhabited,Temple_Dendur,Space,Art2or3,sculpture",Sculpture,DeptSpaces
