Category,File Name,Accession #,Title,Creator,Description,Keywords,Title,PrimaryArtistName,galleryLink,gallery,InTheMuseumList Name,InTheMuseumList Url,ClassificationList,whatList,CRDID,checkAccNo,scrapiurl,meturl,flickrid,flickrpageurl,flickrimageurl,flickrimageurl_text,username,nsid,pathalias,,,,,,,,,,,
SET 01,14548910064.jpg,52.81,-,-,"La représentation continue 0946 - Le Caravage, 1571-1610, Les Musiciens, 1595, dét., The Metropolitan Museum of Art, New York City  addl The Musicians Caravaggio (Michelangelo Merisi)  (Italian, Milan or Caravaggio 1571–1610 Porto Ercole) Date: ca. 1595 Medium: Oil on canvas Dimensions: 36 1/4 x 46 5/8 in. (92.1 x 118.4 cm) Classification: Paintings Credit Line: Rogers Fund, 1952 Accession Number: 52.81 On view in Gallery 621 ","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",The Musicians,Caravaggio (Michelangelo Merisi),/visit/museum-map/galleries/european-paintings/621,621,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",435844,52.81,http://scrapi.org/object/435844,http://www.metmuseum.org/collection/the-collection-online/search/435844,14548910064,https://www.flickr.com/photos/50260960@N06/14548910064/,http://c2.staticflickr.com/4/3909/14548910064_3e2717bf57.jpg,http://c2.staticflickr.com/4/3909/14548910064_3e2717bf57.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14584583730.jpg,89.15.21,-,-,The Metropolitan Museum of Art  Getting a look at Girl with a Water Pitcher by Vermeer.,"Artwork,painting,Inhabited,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number",Young Woman with a Water Pitcher,Johannes Vermeer,/visit/museum-map/galleries/european-paintings/632,632,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",437881,89.15.21,http://scrapi.org/object/437881,http://www.metmuseum.org/collection/the-collection-online/search/437881,14584583730,https://www.flickr.com/photos/tabor-roeder/14584583730/,http://c2.staticflickr.com/3/2904/14584583730_aa1d965e92.jpg,http://c2.staticflickr.com/3/2904/14584583730_aa1d965e92.jpg,Phil Roeder,88876166@N00,tabor-roeder,,,,,,,,,,,
SET 01,14549560372.jpg,52.81,-,-,"La représentation continue 0947 - Le Caravage, 1571-1610, Les Musiciens, 1595, dét., The Metropolitan Museum of Art, New York City   addl The Musicians Caravaggio (Michelangelo Merisi)  (Italian, Milan or Caravaggio 1571–1610 Porto Ercole) Date: ca. 1595 Medium: Oil on canvas Dimensions: 36 1/4 x 46 5/8 in. (92.1 x 118.4 cm) Classification: Paintings Credit Line: Rogers Fund, 1952 Accession Number: 52.81 On view in Gallery 621","Artwork,painting,2D,MetropolitanInDesc,Description,Framing,detail,single,Artwork_number",The Musicians,Caravaggio (Michelangelo Merisi),/visit/museum-map/galleries/european-paintings/621,621,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Canvas,Oil paint",435844,52.81,http://scrapi.org/object/435844,http://www.metmuseum.org/collection/the-collection-online/search/435844,14549560372,https://www.flickr.com/photos/50260960@N06/14549560372/,http://c2.staticflickr.com/3/2935/14549560372_f935a38fa8.jpg,http://c2.staticflickr.com/3/2935/14549560372_f935a38fa8.jpg,Afchine Davoudi,50260960@N06,,,,,,,,,,,,
SET 01,14757094115.jpg,97.34,-,-,"The Metropolitan Museum of Art  Taking in 'Washington Crossing the Delaware,' the 1851 painting by Emanuel Gottlieb Leutze.","Artwork,painting,Inhabited,2D,MetropolitanInDesc,Description,multiple,Artwork_number,across_the_room,Framing,one-focal",Washington Crossing the Delaware,Emanuel Leutze,/visit/museum-map/galleries/the-american-wing/760,760,American Paintings and Sculpture,/collection/the-collection-online/search?ft=*&amp;deptids=2,Paintings,"Paintings,Canvas,Oil paintings",11417,97.34,http://scrapi.org/object/11417,http://www.metmuseum.org/collection/the-collection-online/search/11417,14757094115,https://www.flickr.com/photos/tabor-roeder/14757094115/,http://c2.staticflickr.com/4/3876/14757094115_ef4e6f0e36.jpg,http://c2.staticflickr.com/4/3876/14757094115_ef4e6f0e36.jpg,Phil Roeder,88876166@N00,tabor-roeder,,,,,,,,,,,
SET 01,14756775582.jpg,97.34,-,-,"The Metropolitan Museum of Art  Taking in 'Washington Crossing the Delaware,' the 1851 painting by Emanuel Gottlieb Leutze.","Artwork,painting,Inhabited,2D,MetropolitanInDesc,Description,full,Framing,single,Artwork_number",Washington Crossing the Delaware,Emanuel Leutze,/visit/museum-map/galleries/the-american-wing/760,760,American Paintings and Sculpture,/collection/the-collection-online/search?ft=*&amp;deptids=2,Paintings,"Paintings,Canvas,Oil paintings",11417,97.34,http://scrapi.org/object/11417,http://www.metmuseum.org/collection/the-collection-online/search/11417,14756775582,https://www.flickr.com/photos/tabor-roeder/14756775582/,http://c2.staticflickr.com/3/2911/14756775582_77d7d93f0e.jpg,http://c2.staticflickr.com/3/2911/14756775582_77d7d93f0e.jpg,Phil Roeder,88876166@N00,tabor-roeder,,,,,,,,,,,
SET 01,14918434591.jpg,1990.53.2,Autumn in the Guise of Priapus,helendwall,"Autumn in the Guise of Priapus (one of a pair);Pietro Bernini ;(Italian, 15621629);Artist: Assisted by Gian Lorenzo Bernini (Italian, Naples 15981680 Rome);Date: 161617;Culture: Italian, Rome;Medium: Marble;Dimensions: confirmed: 89 5/8 30 5/8 27 5/8 in., 2531 lb. (227.6 77.8 70.2 cm, 1148.1 kg) Pedestal, confirmed: 42 1/2 30 30 in., 2725 lb. (108 76.2 76.2 cm, 1236.1 kg);Classification: Sculpture;Credit Line: Purchase, The Annenberg Foundation Gift, 1990;Accession Number: 1990.53.2;;<a href=http://www.metmuseum.org/collection/the-collection-online/search/209466 rel=nofollow>www.metmuseum.org/collection/the-collection-online/search...</a>  addl accession","NA,Artwork,3D,sculpture,AccessionInDesc,Description,single,Artwork_number,full,Framing",Autumn in the Guise of Priapus (one of a pair),Pietro Bernini,/visit/museum-map/galleries/european-sculpture-and-decorative-arts/534,534,European Sculpture and Decorative Arts,/collection/the-collection-online/search?ft=*&amp;deptids=12,Sculpture,"Sculpture,Marble",209466,1990.53.2,http://scrapi.org/object/209466,http://www.metmuseum.org/collection/the-collection-online/search/209466,14918434591,https://www.flickr.com/photos/helendwall/14918434591/,http://c2.staticflickr.com/6/5589/14918434591_41197e5b32.jpg,http://c2.staticflickr.com/6/5589/14918434591_41197e5b32.jpg,helendwall,56100553@N03,helendwall,,,,,,,,,,,
SET 01,14903202429.jpg,2006.113a–c,The Jewish Woman of Algiers,jaroslavd,"Metropolitan Museum of Art;;Charles-Henri-Joseph Cordier (1827-1905);Algerian onyx-marble, bronze and gilt bronze, enamel, amethyst eyes; white marble socle;French (Paris), 1862;;Cordier was Europe's premier ethnographical sculptor. He treated his subjects, studied intensely during travels in France's North African colonies, as exotic beings but not as stereotypes. He presents our richly dressed young beauty as alert but also contemplative. This is the earliest dated example of a composition that won marked success, in each case replicated with variants in the materials used. The Algerian onyx-marble was quarried expressly for Cordier's use. The pedestal is original, attributable to Charles-Francois Rossigneux. The bust and pedestal together were bought directly from Cordier by the Cercle des Phoceens, a gentlemen's club in Marseille.","jaroslavd: jewishwomanofalgiers,jaroslavd: charleshenrijosephcordier,jaroslavd: exotic,jaroslavd: northafrican,jaroslavd: beautiful,jaroslavd: woman,jaroslavd: bust,jaroslavd: sculpture,jaroslavd: onyxmarble,jaroslavd: bronze,jaroslavd: gilt,jaroslavd: amethyst,jaroslavd: orientalism,Department,Africa,Artwork,3D,sculpture,MetropolitanInDesc,Description,single,Artwork_number,full,Framing",The Jewish Woman of Algiers,Charles-Henri-Joseph Cordier,/visit/museum-map/galleries/european-sculpture-and-decorative-arts/555,555,European Sculpture and Decorative Arts,/collection/the-collection-online/search?ft=*&amp;deptids=12,Sculpture,"Metal,Sculpture,Copper alloy,Bronze,Gilt,Figures,Chalcedony,Plate,Marble,Enamel,Ormolu,Busts,Amethyst,Onyx",232047,2006.113a–c,http://scrapi.org/object/232047,http://www.metmuseum.org/collection/the-collection-online/search/232047,14903202429,https://www.flickr.com/photos/jaroslavd/14903202429/,http://c2.staticflickr.com/6/5571/14903202429_dc84645b6c.jpg,http://c2.staticflickr.com/6/5571/14903202429_dc84645b6c.jpg,jaroslavd,98775743@N00,jaroslavd,,,,,,,,,,,
SET 01,15089490112.jpg,45.60.37a–c,Bather,jaroslavd,"Metropolitan Museum of Art;Marble;Manner of Etienne-Maurice Falconet (1716-1791);French (Paris), ca. 1770-80;;Dimensions: Height (with base): 10 1/4 in. (26 cm);;This statuette belongs to the large group of works inspired by Falconet's popular biscuit figurines of similar subjects.","jaroslavd: bather,jaroslavd: etiennemauricefalconet,jaroslavd: stauette,jaroslavd: marble,jaroslavd: nude,jaroslavd: figurine,jaroslavd: sculpture,jaroslavd: met,jaroslavd: metropolitanmuseumofart,Artwork,3D,sculpture,MetropolitanInDesc,Description,single,Artwork_number,full,Framing",Bather,Manner of Étienne-Maurice Falconet,/visit/museum-map/galleries/european-sculpture-and-decorative-arts/552,552,European Sculpture and Decorative Arts,/collection/the-collection-online/search?ft=*&amp;deptids=12,Sculpture,"Sculpture,Statues,Figurines,Marble",199645,45.60.37a–c,http://scrapi.org/object/199645,http://www.metmuseum.org/collection/the-collection-online/search/199645,15089490112,https://www.flickr.com/photos/jaroslavd/15089490112/,http://c2.staticflickr.com/4/3926/15089490112_398ce1a9d0.jpg,http://c2.staticflickr.com/4/3926/15089490112_398ce1a9d0.jpg,jaroslavd,98775743@N00,jaroslavd,,,,,,,,,,,
SET 01,14940690236.jpg,80.3.674,-,Trish Mayo,"cmp3.10.3.1Lq4 0x18da0983 Sunny Afternoon With St Christopher  A beautiful light and shadow pattern at the Met Museum.  Information about the large Fresco on the left Saint Christopher and the Infant Christ Domenico Ghirlandaio (Domenico Bigordi) (Italian, Florence 1448/49–1494 Florence) Medium: Fresco Dimensions: 112 x 59 in. (284.5 x 149.9 cm) Classification: Paintings Credit Line: Gift of Cornelius Vanderbilt, 1880 Accession Number: 80.3.674","Artwork,painting,Inhabited,2D,AccessionInDesc,Description,single,Artwork_number,across_the_room,Framing,full",Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),/visit/museum-map/galleries/robert-lehman/961,961,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Frescoes",436492,80.3.674,http://scrapi.org/object/436492,http://www.metmuseum.org/collection/the-collection-online/search/436492,14940690236,https://www.flickr.com/photos/obsessivephotography/14940690236/,http://c2.staticflickr.com/4/3900/14940690236_2befb7e1bd.jpg,http://c2.staticflickr.com/4/3900/14940690236_2befb7e1bd.jpg,Trish Mayo,97402095@N00,obsessivephotography,,,,,,,,,,,
SET 01,15088456272.jpg,20.125,Evening Revisited,jaroslavd,Evening;Metropolitan Museum of Art;Evening;Frederick Wellington Ruckstull (1853-1942);;This is always a favourite of mine when I visit the Met in New York. I can never resist trying to recapture its beguiling beauty. This is the first full length frontal that I have taken of it.;;It has been processed in Photoshop for that characteristic &quot;high key&quot; effect.,"jaroslavd: evening,jaroslavd: frederickwellingtonruckstull,jaroslavd: sculpture,jaroslavd: met,jaroslavd: metropolitanmuseumofart,jaroslavd: sensual,jaroslavd: nude,jaroslavd: naked,jaroslavd: highkey,jaroslavd: female,jaroslavd: woman,jaroslavd: marble,jaroslavd: desaturated,jaroslavd: framed,Artwork,3D,sculpture,MetropolitanInDesc,Description,single,Artwork_number,full,Framing",Evening,Frederick Wellington Ruckstull,/visit/museum-map/galleries/the-american-wing/700,700,American Paintings and Sculpture,/collection/the-collection-online/search?ft=*&amp;deptids=2,Sculpture,"Sculpture,Marble",11968,20.125,http://scrapi.org/object/11968,http://www.metmuseum.org/collection/the-collection-online/search/11968,15088456272,https://www.flickr.com/photos/jaroslavd/15088456272/,http://c2.staticflickr.com/4/3856/15088456272_2bfbee9496.jpg,http://c2.staticflickr.com/4/3856/15088456272_2bfbee9496.jpg,jaroslavd,98775743@N00,jaroslavd,,,,,,,,,,,
SET 01,15096729130.jpg,32.100.71,Selvaggia Sassetti  (born 1470) TheMET(6).JPG,rverc,"Week 2 Pearls (656-660);Davide Ghirlandaio ( David Bigordi) Italian, Florence 1452-1525;<b><i>Selvaggia Sassetti (born 1470) </i></b>, ca. 1487-88;Tempera on wood;Probably painted by Donenico Ghirlandaios brother Davide, the sitter of this striking portrait has been identified as the fifth daughter of the banker Francesco Sassetti ( he had seven daughters in all). The occasion may have been her marriage to Simone dAmerigo Carnesecchi in 1488. Her well-to-do clothes include a coral necklace with a gold pendant with a red stone and three pearls. The three-quarter view and the manner in which the bust is cut off, with the arms acting as supports, remind one of sculpted portrait busts. The fine frame is of the sixteenth century.;The Friedsam Collection, Bequest of Michael Friedsam, 1931;32.100.71;From the placard: Metropolitan Museum of Art;;.;<a href=http://www.metmuseum.org/ rel=nofollow>www.metmuseum.org/</a>;<a href=http://en.wikipedia.org/wiki/Davide_Ghirlandaio rel=nofollow>en.wikipedia.org/wiki/Davide_Ghirlandaio</a>;<a href=http://www.nationalgallery.org.uk/artists/david-ghirlandaio rel=nofollow>www.nationalgallery.org.uk/artists/david-ghirlandaio</a>;<a href=http://www.metmuseum.org/collection/the-collection-online/search/436491 rel=nofollow>www.metmuseum.org/collection/the-collection-online/search...</a>;;;  addl accession","mystuart (hiatus): portrait,mystuart (hiatus): italian,mystuart (hiatus): jewelry,mystuart (hiatus): 15thcentury,mystuart (hiatus): florence,mystuart (hiatus): metmuseum,Artwork,2D,painting,MetropolitanInDesc,Description,AccessionInDesc,full,Framing,single,Artwork_number",Selvaggia Sassetti (born 1470),Davide Ghirlandaio (David Bigordi),/visit/museum-map/galleries/european-paintings/605,605,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Tempera",436491,32.100.71,http://scrapi.org/object/436491,http://www.metmuseum.org/collection/the-collection-online/search/436491,15096729130,https://www.flickr.com/photos/rverc/15096729130/,http://c2.staticflickr.com/3/2941/15096729130_99954afb51.jpg,http://c2.staticflickr.com/3/2941/15096729130_99954afb51.jpg,rverc,26270547@N07,rverc,,,,,,,,,,,
SET 03,1057277358.jpg,14.130.8,"Marble Pediment of a Funerary Altar in the Metropolitan Museum of Art, July 2007",ElissaSCA,"Marble pediment of a funerary altar;Roman, Hadrianic period, ca. 120-130 AD;;Accession # 14.130.8;;This fragment of an altar is from a commemorative monument in which identifying inscriptions would have appeared on the shaft below the three portrait busts. Since that part of the altar is now missing, the relationship between the figures is not known. The woman at the center, whose hairstyle suggests a date in the early second century AD, is the main focus of attention and so is thought to be the mother of the two men, who look respectfully toward her. It may be that they died first, and their grieving mother, who is presented in a more lifelike pose, was left to set up this monument.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: art,ElissaSCA: museum,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: 2007,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: roman,ElissaSCA: empire,ElissaSCA: marble,ElissaSCA: sculpture,ElissaSCA: relief,ElissaSCA: woman,ElissaSCA: pediment,ElissaSCA: fujifinepixs6000fd,AccessionInDesc,Description,3D,Artwork",Marble pediment of a funerary altar, ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Stone Sculpture,"Sculpture,Stone,Reliefs,Marble,Cippi",248898,14.130.8,http://scrapi.org/object/248898,http://www.metmuseum.org/collection/the-collection-online/search/248898,1057277358,https://www.flickr.com/photos/elissacorsini/1057277358/,http://c2.staticflickr.com/2/1084/1057277358_6e6dfd0c91.jpg,http://c2.staticflickr.com/2/1084/1057277358_6e6dfd0c91.jpg,ElissaSCA,23655879@N00,elissacorsini,,,,,,,,,,,
SET 01,15336463835.jpg,80.3.674,Saint Christopher and the Infant Christ TheMET(8),rverc,"Week 3 Problem is, once youve done hands and feet...now you have to do knees (661-665);Domenico Ghirlandaio ( Domenico Bigordi) Italian, Florence 1448/491494 Florence;<b><i>Saint Christopher and the Infant Christ </i></b>, ca. 1472-75;Fresco;Inscribed (on globe): ASIA / AFRIHA / [E]VROPA;This mural is an early work by the Florentine artist Ghirlandaio, who was renowned as a fresco painter and the head of an important workshop where the young Michelangelo trained. In the fresco technique, pigments mixed with water are applied directly on a fresh ( or fresco) plaster wall. As the plaster sets, a chemical reaction occurs whereby the pigment particles become locked into the wall, giving the work great durability.;The imposing figure of Saint Christopher, with wind blown garments, wades through the water carrying the Christ Child on his shoulders. His identity unknown, the Christ Child asked Christopher ( meaning Christ-bearer) to help him cross the river, as he had done for others. As he grew increasingly heavy, the Christ Child revealed himself to Christopher and informed him that he was bearing the weight of the world and its creator on his shoulders. Images of Saint Christopher, the patron saint of travelers, were often placed near the doorways of churches. This fresco may have adorned a chapel in the Michelozzi villa in Florence.;This work is on generous loan from the Department of European Paintings.;Gift of Cornelius Vanderbilt, 1880 ( 80.3.674);From the placard: Metropolitan Museum of Art;.;<a href=http://www.metmuseum.org/ rel=nofollow>www.metmuseum.org/</a>;<a href=http://en.wikipedia.org/wiki/Domenico_Ghirlandaio rel=nofollow>en.wikipedia.org/wiki/Domenico_Ghirlandaio</a>;<a href=https://www.britishmuseum.org/explore/highlights/highlight_objects/pd/d/ghirlandaio,_birth_of_virgin.aspx rel=nofollow>www.britishmuseum.org/explore/highlights/highlight_object...</a>;<a href=http://womeninrenaissanceart.wikispaces.com/Birth+of+the+Virgin rel=nofollow>womeninrenaissanceart.wikispaces.com/Birth+of+the+Virgin</a>;;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,rverc: europeanpainting,European,Department,Artwork,2D,painting,MetropolitanInDesc,Description,AccessionInDesc,multiple,Artwork_number,full,Framing,one-focal",Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),/visit/museum-map/galleries/robert-lehman/961,961,European Paintings,/collection/the-collection-online/search?ft=*&amp;deptids=11,Paintings,"Paintings,Frescoes",436492,80.3.674,http://scrapi.org/object/436492,http://www.metmuseum.org/collection/the-collection-online/search/436492,15336463835,https://www.flickr.com/photos/rverc/15336463835/,http://c2.staticflickr.com/4/3840/15336463835_068864f659.jpg,http://c2.staticflickr.com/4/3840/15336463835_068864f659.jpg,rverc,26270547@N07,rverc,,,,,,,,,,,
SET 03,1057277650.jpg,14.130.8,"Detail of a Marble Pediment of a Funerary Altar in the Metropolitan Museum of Art, July 2007",ElissaSCA,"Marble pediment of a funerary altar;Roman, Hadrianic period, ca. 120-130 AD;;Accession # 14.130.8;;This fragment of an altar is from a commemorative monument in which identifying inscriptions would have appeared on the shaft below the three portrait busts. Since that part of the altar is now missing, the relationship between the figures is not known. The woman at the center, whose hairstyle suggests a date in the early second century AD, is the main focus of attention and so is thought to be the mother of the two men, who look respectfully toward her. It may be that they died first, and their grieving mother, who is presented in a more lifelike pose, was left to set up this monument.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: art,ElissaSCA: museum,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: 2007,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: roman,ElissaSCA: empire,ElissaSCA: marble,ElissaSCA: sculpture,ElissaSCA: relief,ElissaSCA: fujifinepixs6000fd,AccessionInDesc,Description,3D,Artwork",Marble pediment of a funerary altar, ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Stone Sculpture,"Sculpture,Stone,Reliefs,Marble,Cippi",248898,14.130.8,http://scrapi.org/object/248898,http://www.metmuseum.org/collection/the-collection-online/search/248898,1057277650,https://www.flickr.com/photos/elissacorsini/1057277650/,http://c2.staticflickr.com/2/1214/1057277650_112fa60c28.jpg,http://c2.staticflickr.com/2/1214/1057277650_112fa60c28.jpg,ElissaSCA,23655879@N00,elissacorsini,,,,,,,,,,,
SET 03,1162938490.jpg,2000.39,"Archaic Terracotta Figurine of a Woman in the Metropolitan Museum of Art, July 2007",ElissaSCA,"Terracotta figurine of a woman;Greek, late 6th- early 5th century BC;;Accession # 2000.39;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: met,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: 2007,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: greek,ElissaSCA: archaic,ElissaSCA: terracotta,ElissaSCA: figurine,ElissaSCA: woman,ElissaSCA: statue,ElissaSCA: sculpture,ElissaSCA: clay,ElissaSCA: fujifinepixs6000fd,AccessionInDesc,Description,3D,Artwork",Terracotta figure of a woman, ,/visit/museum-map/galleries/greek-and-roman/152,152,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Terracottas,"Sculpture,Clay,Terracotta,Statues,Figurines",257438,2000.39,http://scrapi.org/object/257438,http://www.metmuseum.org/collection/the-collection-online/search/257438,1162938490,https://www.flickr.com/photos/elissacorsini/1162938490/,http://c2.staticflickr.com/2/1157/1162938490_02edab61b1.jpg,http://c2.staticflickr.com/2/1157/1162938490_02edab61b1.jpg,ElissaSCA,23655879@N00,elissacorsini,,,,,,,,,,,
SET 03,1110374525.jpg,1992.11.58,"Marble Hellenistic Grave Relief With Two Registers in the Metropolitan Museum of Art, July 2007",ElissaSCA,"Marble grave relief with a funerary banquet and departing warriors;Greek, Hellenistic, 2nd century BC;;Accession # 1992.11.58;;Two brothers, sons of Apollonios, are represented in both reliefs, and their names are inscribed below. They are shown in a manner associated with hero worship. The ancient Greeks devised a category of powerful demigods known as heroes, who were not unlike Christian saints. Local cults flourished at the tombs of ;certain deceased men who were thought to exert power for good or evil from their grave. During the Classical period, votive reliefs dedicated to such heroes often represented them on horseback or dining at a funerary banquet. The reliefs on this grave monument drew on such imagery and thus enhanced the memory of the deceased brothers.;;Text from the Metropolitan Museum of Art label.;","ElissaSCA: metropolitanmuseum,ElissaSCA: art,ElissaSCA: museum,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: 2007,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: ancientworld,ElissaSCA: sculpture,ElissaSCA: ancient,ElissaSCA: greek,ElissaSCA: hellenistic,ElissaSCA: marble,ElissaSCA: relief,ElissaSCA: fujifinepixs6000fd,AccessionInDesc,Description,3D,Artwork",Marble grave relief with a funerary banquet and departing warriors, ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Stone Sculpture,"Sculpture,Stone,Reliefs,Marble",256118,1992.11.58,http://scrapi.org/object/256118,http://www.metmuseum.org/collection/the-collection-online/search/256118,1110374525,https://www.flickr.com/photos/elissacorsini/1110374525/,http://c2.staticflickr.com/2/1397/1110374525_12dbe22725.jpg,http://c2.staticflickr.com/2/1397/1110374525_12dbe22725.jpg,ElissaSCA,23655879@N00,elissacorsini,,,,,,,,,,,
SET 03,1204445935.jpg,"1994.600.1, .2","Terracotta Bust of a Woman in the Metropolitan Museum of Art, July 2007",ElissaSCA,"Two terracotta busts;Greek, Sicilian, 4th century BC;Accession # 1994.600.1, .2;;These busts, identified as Persephone, or possibly Demeter, depict a goddess wearing a polos (headdress). As is typical of such Sicilian terracottas, they do not represent the figure's arms or breasts, but the face and the hair with its streaming locks and curls are powerfully rendered. Originally, they were adorned with earrings, as indicated by the holes in the earlobes. They were probably painted and gilded and were presumably set up as votive offerings in sanctuaries.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: 2007,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: greek,ElissaSCA: terracotta,ElissaSCA: sicilian,ElissaSCA: sicily,ElissaSCA: bust,ElissaSCA: woman,ElissaSCA: clay,ElissaSCA: fujifinepixs6000fd,ElissaSCA: sculpture,ElissaSCA: museum,AccessionInDesc,Description,3D,Artwork",Two terracotta busts, ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Terracottas,"Clay,Terracotta,Figures,Busts",256204,"1994.600.1, .2",http://scrapi.org/object/256204,http://www.metmuseum.org/collection/the-collection-online/search/256204,1204445935,https://www.flickr.com/photos/elissacorsini/1204445935/,http://c2.staticflickr.com/2/1198/1204445935_ebc2982ebe.jpg,http://c2.staticflickr.com/2/1198/1204445935_ebc2982ebe.jpg,ElissaSCA,23655879@N00,elissacorsini,,,,,,,,,,,
SET 03,1204445917.jpg,"1994.600.1, .2","Terracotta Bust of a Woman in the Metropolitan Museum of Art, July 2007",ElissaSCA,"Two terracotta busts;Greek, Sicilian, 4th century BC;Accession # 1994.600.1, .2;;These busts, identified as Persephone, or possibly Demeter, depict a goddess wearing a polos (headdress). As is typical of such Sicilian terracottas, they do not represent the figure's arms or breasts, but the face and the hair with its streaming locks and curls are powerfully rendered. Originally, they were adorned with earrings, as indicated by the holes in the earlobes. They were probably painted and gilded and were presumably set up as votive offerings in sanctuaries.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: 2007,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: greek,ElissaSCA: terracotta,ElissaSCA: sicilian,ElissaSCA: sicily,ElissaSCA: bust,ElissaSCA: woman,ElissaSCA: clay,ElissaSCA: sculpture,ElissaSCA: fujifinepixs6000fd,ElissaSCA: museum,AccessionInDesc,Description,3D,Artwork",Two terracotta busts, ,/visit/museum-map/galleries/greek-and-roman/162,162,Greek and Roman Art,/collection/the-collection-online/search?ft=*&amp;deptids=13,Terracottas,"Clay,Terracotta,Figures,Busts",256204,"1994.600.1, .2",http://scrapi.org/object/256204,http://www.metmuseum.org/collection/the-collection-online/search/256204,1204445917,https://www.flickr.com/photos/elissacorsini/1204445917/,http://c2.staticflickr.com/2/1405/1204445917_b32c7fabd4.jpg,http://c2.staticflickr.com/2/1405/1204445917_b32c7fabd4.jpg,ElissaSCA,23655879@N00,elissacorsini,,,,,,,,,,,
