Category,File Name,Accession #,Title,Creator,Description,Keywords
SET 07,6931313790.jpg,24.167a-k,"Detail of a Window with Scenes from the Legend of St. Vincent of Saragossa in the Metropolitan Museum of Art, January 2011",ElissaSCA,"Scenes from the Legend of Saint Vincent of Saragossa and the History of His Relics;;Date: ca. 124547 ;;Geography: Made in, Paris, France ;;Culture: French ;;Medium: Pot-metal glass, vitreous paint, and lead ;;Dimensions: Overall: 147 x 43 1/2in. (373.4 x 110.5cm) Overall (Installation Opening): 144 x 41 1/2 in. (365.8 x 105.4 cm) ;;Classification: Glass-Stained Credit Line: Gift of George D. Pratt, 1924 ;;Accession Number: 24.167a-k;;Description:;;The monks of Saint-Germain-des-Pres held a special devotion for Saint Vincent (died 304), as their abbey had been founded to receive a relic of the saint's tunic. The relic had been transported from Spain by the Merovingian king Childebert, who is shown here on horseback with his brother Lothar. The remaining scenes illustrate Saint Vincent's confrontations with the Roman proconsul Dacian.;;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/170006499 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/1700...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: medieval,ElissaSCA: stainedglass,ElissaSCA: fujifinepixs6000fd,ElissaSCA: french,ElissaSCA: gothic,ElissaSCA: christian,ElissaSCA: saint,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6931652520.jpg,56.13,TheFloweringOrchard_TheMET(6),rverc,"[This photograph was Identify the Painter (21)];Vincent van Gogh;Dutch, 1853-1890;Detail from: <b><i> The Flowering Orchard </i></b>;Oil on canvas Signed (lower left): Vincent;;The painting belongs to a series of fourteen blossoming orchards that Van Gogh painted in the spring, 1888, shortly after his arrival in Arles, the provenal town in the south of France where he worked from February 1888 until May 1889. The present example, which includes a scythe and rake, is one of only two orchards that allude to human presence or labor. The motif and Van Goghs stylized treatment are related to Japanese prints.;;The Mr. and Mrs. Henry Ittleson, Jr., Purchase Fund, 1956;56.13;;From the placard: Metropolitan Museum of Art;;;..;;<a href=http://bighugelabs.com/onblack.php?id=6931652520&amp;bg=white&amp;size=large rel=nofollow>View On White</a>  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,Description,AccessionInDesc,2D,Artwork"
SET 07,6932243507.jpg,42.16,"Detail of Lobster Fishermen by Marsden Hartley in the Metropolitan Museum of Art, January 2011",ElissaSCA,"Lobster Fishermen;;Marsden Hartley (American, Lewiston, Maine 18771943 Ellsworth, Maine) ;;Date: 194041 ;;Medium: Oil on Masonite ;;Dimensions: H. 29-3/4, W. 40-7/8 inches (75.6 x 103.8 cm.) ;;Classification: Paintings ;;Credit Line: Arthur Hoppock Hearn Fund, 1942 ;;Accession Number: 42.160;;Description:;;Although Hartley felt disconnected from most people and places, Maine came closest to being home. To adequately express the rugged landscape and hardy people he saw there, he adopted a deliberately primitive, &quot;archaic&quot; style for his late work. In 1940 Hartley moved to the small coastal town of Corea, where lobstering was a way of life. Here, he painted the men gathered on a wharf with their lobster traps. The scene not only conveys the details of their surroundings and gear but also suggests the profound unity of man and nature.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/210008257 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/2100...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: painting,ElissaSCA: modern,ElissaSCA: fujifinepixs6000fd,DescriptionInDesc,Description,AccessionInDesc,2D,Artwork"
SET 07,6934373262.jpg,67.187.121,Tennis at Newport _TheMET(11),rverc,"[This photograph was Identify the Painter (22)];;George Bellows. American, 1882-1925;;Detail from: <b><i> Tennis at Newport </i></b> 1919;Oil on canvas;;Bequest of Miss Adelaide Milton de Groot (1867-1967), 1967;67.187.121;;;From the placard: Metropolitan Museum of Art;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,Description,AccessionInDesc,2D,Artwork"
SET 07,6943008865.jpg,1978.394.1,"Seated Youthful Manjushri in the Metropolitan Museum of Art, September 2010",ElissaSCA,"Manjushri, the Bodhisattva of Transcendent Wisdom;;Date: 9th10th century ;;Culture: Nepal (Kathmandu Valley) ;;Medium: Copper alloy ;;Dimensions: H. 6 9/16 in. (16.7 cm) ;;Classification: Metalwork ;;Credit Line: Gift of Mr. and Mrs. A. Richard Benedek, 1978 ;;Accession Number: 1978.394.1;;Description;;; Manjushri, a bodhisattva who embodies wisdom as the path to enlightenment, is closely related to the wisdom goddess Prajnaparamita. Both emerged in north Indian religious texts and imagery in the eighth century. Manjushri is here represented as a child, his hair styled in a three-part chignon and wearing a tiger-claw necklace, both signs of boyhood. Iconographic texts identify the object in his right hand as a citron and that in his left as a blue lotus.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/60006344 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/6000...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: asian,ElissaSCA: fujifinepixs6000fd,ElissaSCA: sculpture,ElissaSCA: statuette,ElissaSCA: figurine,ElissaSCA: 2010,ElissaSCA: copper,ElissaSCA: bodhisattva,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6943009417.jpg,1995.570.9,"Standing Vishnu Flanked by Lakshmi and Garuda in the Metropolitan Museum of Art, September 2010",ElissaSCA,"Vishnu Flanked by Lakshmi and Garuda;;Period: Karnata-Malla period ;;Date: 11th century ;;Culture: Nepal (Kathmandu Valley) ;;Medium: Stone ;;Dimensions: H. 19 14 in. (48.9 cm); W. 14 1/4 in. (36.2 cm); D. 3 1/2 in. (8.9 cm) ;;Classification: Sculpture ;;Credit Line: Gift of The Kronos Collections, 1995 ;;Accession Number: 1995.570.9;;Description:;;This stela shows a four-armed Vishnu holding his weaponsa conch and a clubin his upper hands. He is flanked on his right by his consort Lakshmi, and on his left by his vehicle, the solar bird Garuda, represented here in anthropomorphic form. Vishnu stands on a raised platform decorated with a stylized lotus plant and flower, while the goddess is on a lotus pedestal and Garuda is on tiered rocks, representative of his mountain abode. Each deity is surrounded by a pearl-and-flame aureole, as is the ensemble as a whole.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/60005530 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/6000...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: asian,ElissaSCA: fujifinepixs6000fd,ElissaSCA: relief,ElissaSCA: sculpture,ElissaSCA: vishnu,ElissaSCA: god,ElissaSCA: 2010,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6943010165.jpg,1974.273,"Padmapani Lokeshvara in the Metropolitan Museum of Art, September 2010",ElissaSCA,"Avalokiteshvara or Padmapani;;Date: 7th century ;;Culture: Pakistan (Swat Valley) or Kashmir ;;Medium: Brass with silver and copper inlay ;;Dimensions: H. 8 3/4 in. (22.2 cm) ;;Classification: Metalwork ;;Credit Line: Harris Brisbane Dick and Fletcher Funds, 1974 ;;Accession Number: 1974.273;;Description:;;The Bodhisattva Padmapani is a lotus-bearing divinity that is a form of Avalokiteshvara, the Bodhisattva of Infinite Compassion. The small Buddha in his hair is Amitabha, the Buddha of the Western Paradise. The antelope skin over his left a rm indicates the ascetic nature of this bodhisattva, who sits in the relaxed posture of royal ease (rajaliliasana).;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/60006337 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/6000...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: asian,ElissaSCA: fujifinepixs6000fd,ElissaSCA: 2010,ElissaSCA: statuette,ElissaSCA: sculpture,ElissaSCA: figurine,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: bodhisattva,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6943049109.jpg,1987.418.1,"Bust of a Female Deity in the Metropolitan Museum of Art, September 2010",ElissaSCA,"Bust of a Female Deity;;Date: 8th9th century ;;Culture: India (Madhya Pradesh, Gwalior) ;;Medium: Stone ;;Dimensions: H. 18 1/2 in. (47 cm) ;;Classification: Sculpture ;;Credit Line: Gift of Mr. and Mrs. Perry J. Lewis, 1987 ;;Accession Number: 1987.418.1;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/60005093 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/6000...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: asian,ElissaSCA: fujifinepixs6000fd,ElissaSCA: sculpture,ElissaSCA: 2010,ElissaSCA: bust,ElissaSCA: indian,ElissaSCA: goddess,ElissaSCA: ancient,ElissaSCA: ancientworld,AccessionInDesc,Description,3D,Artwork"
SET 07,6943362650.jpg,1979.206.97,"Warrior Plaque in the Metropolitan Museum of Art, December 2010",ElissaSCA,"Plaque: Warrior and Fish;;Date: 16th17th century ;;Geography: Nigeria, Court of Benin ;;Culture: Edo peoples ;;Medium: Brass ;;Dimensions: H. 18 x W. 12 x D. 2 1/4 in. (45.8 x 30.5 x 5.7 cm) ;;Classification: Metal-Sculpture ;;Credit Line: The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979 ;;Accession Number: 1979.206.97;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/50004882 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/5000...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: african,ElissaSCA: relief,ElissaSCA: plaque,ElissaSCA: sculpture,ElissaSCA: benin,ElissaSCA: fujifinepixs6000fd,AccessionInDesc,Description,3D,Artwork"
SET 07,6943388424.jpg,40.185,"Detailof a Section of a Marble Mosaic from a Bathhouse Floor in Antioch in the Metropolitan Museum of Art, April 2011",ElissaSCA,"Section of a Marble Mosaic Bathhouse Floor;;Date: 537/538 ;;Culture: Byzantine ;;Medium: Marble, mosaic ;;Dimensions: Overall: 108 x 104in. (274.3 x 264.2cm) ;;Classification: Mosaics ;;Credit Line: Rogers Fund, 1940 ;;Accession Number: 40.185;;Description:;;This elegantly simple floral carpet belonged to a floor identified by a Greek inscription as part of the restoration in 537/38 of a public bath, probably occasioned by the great earthquake of 526. Antioch was a major administrative, commercial, and military center for the Empire, as well as a leading administrative center for the Christian church.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/170010464 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/1700...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: mosaic,ElissaSCA: antioch,ElissaSCA: lateantique,ElissaSCA: byzantine,ElissaSCA: fujifinepixs6000fd,ElissaSCA: marble,ElissaSCA: medieval,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6943388656.jpg,40.185,"Section of a Marble Mosaic from a Bathhouse Floor in Antioch in the Metropolitan Museum of Art, April 2011",ElissaSCA,"Section of a Marble Mosaic Bathhouse Floor;;Date: 537/538 ;;Culture: Byzantine ;;Medium: Marble, mosaic ;;Dimensions: Overall: 108 x 104in. (274.3 x 264.2cm) ;;Classification: Mosaics ;;Credit Line: Rogers Fund, 1940 ;;Accession Number: 40.185;;Description:;;This elegantly simple floral carpet belonged to a floor identified by a Greek inscription as part of the restoration in 537/38 of a public bath, probably occasioned by the great earthquake of 526. Antioch was a major administrative, commercial, and military center for the Empire, as well as a leading administrative center for the Christian church.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/170010464 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/1700...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: mosaic,ElissaSCA: antioch,ElissaSCA: lateantique,ElissaSCA: byzantine,ElissaSCA: fujifinepixs6000fd,ElissaSCA: marble,ElissaSCA: medieval,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6943434244.jpg,55.145.2,"Josefa de Castilla Portugal y van Asbrock de Garcini by Goya in the Metropolitan Museum of Art, December 2010",ElissaSCA,"Josefa de Castilla Portugal y van Asbrock de Garcini (1775about 1850);;Goya (Francisco de Goya y Lucientes) (Spanish, Fuendetodos 17461828 Bordeaux);;Date: 1804 ;;Medium: Oil on canvas ;;Dimensions: 41 x 32 3/8 in. (104.1 x 82.2 cm) ;;Classification: Paintings ;;Credit Line: Bequest of Harry Payne Bingham, 1955 ;;Accession Number: 55.145.2;;Description:;;In this pendant to the portrait of her husband, Ignacio Garcini y Queralt (55.145.1), Dona Garcini is evidently pregnant, which may account for the informality of her hair and dress. Her Rubensian features and coloring, invariably noted by critics, have only recently been explained: Josefa's mother, whose name was Van Asbrock, was of Flemish descent.;;;Text from: <a href=http://www.metmuseum.org/collections/search-the-collections/110000985 rel=nofollow>www.metmuseum.org/collections/search-the-collections/1100...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: spanish,ElissaSCA: painting,ElissaSCA: goya,ElissaSCA: portrait,ElissaSCA: fujifinepixs6000fd,ElissaSCA: 19thcentury,ElissaSCA: romanticism,DescriptionInDesc,Description,AccessionInDesc,2D,Artwork"
SET 07,6943449668.jpg,89.4.2929ae,"Detail of a Harpsichord in the Metropolitan Museum of Art, December 2010",ElissaSCA,"Harpsichord;;Michele Todini (bapt. 16161689) ;;Date: ca. 1670 ;;Geography: Rome, Italy ;;Medium: Wood, various materials ;;Dimensions: ;HARPSICHORD: L. of inner instrument 269 cm (8 ft. 9 7/8 in.); W. of inner instrument 87.2 cm (34 3/8 in.); D. of inner instrument 19 cm (7 1/2 in.); 3-octave span 48.9 cm (19 1/4 in.); sounding L. of original c2 was approx. 28 cm (11 in.) ;HARPSICHORD CASE: L. 299.7 X W. 96.5 X D. 37.5cm (118 X 38 X 14 3/4 in.) ;POLYPHEMUS: H. 152.4 X W. 132.1 X D. 127 cm (60 X 52 X 50 in.) ;GALATEA: H. 144.8 X W. 119.4 X D. 88.9 cm (57 X 47 X 35 in.) ;STAND: Triton section: H. 96.5 x W. 170.2 x D. 144.8 cm (38 x 67 x 57 in.) Mid-section: H. 99.1 x W. 104.1 x D. 88.9 cm (39 x 41 x 35 in.) Shell section: H. 114.3 x W. 94 x D. 88.9 cm (45 x 37 x 35 in.) ;;Classification: Chordophone-Zither ;;Credit Line: The Crosby Brown Collection of Musical Instruments, 1889 ;;Accession Number: 89.4.2929ae;;Description:;;This gilded case encloses an Italian harpsichord of typical design but unusual length. Decorated with a frieze depicting the Triumph of Galatea and supported by three Tritons, the harpsichord originally formed part of Michele Todini's Galeria Armonica and was described in his catalogue of 1676. The flanking figures of Polyphemus playing a bagpipe (Todini invented one like it) and Galatea, holding a lute, were displayed with the harpsichord in front of a &quot;mountain&quot; in which a small pipe organ was concealed. The organ simulated the bagpipe's sound and the harpsichord represented the sound of the lute. Todini designed several such lavish instruments and charged admission from the aristocrats who visited his gallery. The artistic quality of the case ranks it among the finest examples of Roman Baroque decorative art; Todini's ingenuity and search for new forms of instrumental expressivity grew out of the same musical climate that led to the invention of the piano.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/180014140 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/1800...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: fujifinepixs6000fd,ElissaSCA: gold,ElissaSCA: sculpture,ElissaSCA: italian,ElissaSCA: baroque,ElissaSCA: catchycolors,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6943450882.jpg,89.4.2929ae,"Harpsichord in the Metropolitan Museum of Art, December 2010",ElissaSCA,"Harpsichord;;Michele Todini (bapt. 16161689) ;;Date: ca. 1670 ;;Geography: Rome, Italy ;;Medium: Wood, various materials ;;Dimensions: ;HARPSICHORD: L. of inner instrument 269 cm (8 ft. 9 7/8 in.); W. of inner instrument 87.2 cm (34 3/8 in.); D. of inner instrument 19 cm (7 1/2 in.); 3-octave span 48.9 cm (19 1/4 in.); sounding L. of original c2 was approx. 28 cm (11 in.) ;HARPSICHORD CASE: L. 299.7 X W. 96.5 X D. 37.5cm (118 X 38 X 14 3/4 in.) ;POLYPHEMUS: H. 152.4 X W. 132.1 X D. 127 cm (60 X 52 X 50 in.) ;GALATEA: H. 144.8 X W. 119.4 X D. 88.9 cm (57 X 47 X 35 in.) ;STAND: Triton section: H. 96.5 x W. 170.2 x D. 144.8 cm (38 x 67 x 57 in.) Mid-section: H. 99.1 x W. 104.1 x D. 88.9 cm (39 x 41 x 35 in.) Shell section: H. 114.3 x W. 94 x D. 88.9 cm (45 x 37 x 35 in.) ;;Classification: Chordophone-Zither ;;Credit Line: The Crosby Brown Collection of Musical Instruments, 1889 ;;Accession Number: 89.4.2929ae;;Description:;;This gilded case encloses an Italian harpsichord of typical design but unusual length. Decorated with a frieze depicting the Triumph of Galatea and supported by three Tritons, the harpsichord originally formed part of Michele Todini's Galeria Armonica and was described in his catalogue of 1676. The flanking figures of Polyphemus playing a bagpipe (Todini invented one like it) and Galatea, holding a lute, were displayed with the harpsichord in front of a &quot;mountain&quot; in which a small pipe organ was concealed. The organ simulated the bagpipe's sound and the harpsichord represented the sound of the lute. Todini designed several such lavish instruments and charged admission from the aristocrats who visited his gallery. The artistic quality of the case ranks it among the finest examples of Roman Baroque decorative art; Todini's ingenuity and search for new forms of instrumental expressivity grew out of the same musical climate that led to the invention of the piano.;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/180014140 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/1800...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: fujifinepixs6000fd,ElissaSCA: gold,ElissaSCA: sculpture,ElissaSCA: italian,ElissaSCA: baroque,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork,2D"
SET 07,6943471008.jpg,1987.218.5,"Fasting Buddha in the Metropolitan Museum of Art, September 2010",ElissaSCA,"Fasting Buddha Shakyamuni;;Period: Kushan period ;;Date: 3rd5th century ;;Culture: Pakistan (ancient region of Gandhara) ;;Medium: Schist ;;Dimensions: H. 10 15/16 in. (27.8 cm) ;;Classification: Sculpture ;;Credit Line: Samuel Eilenberg Collection, Ex Coll.: Columbia University, Purchase, Rogers, Dodge, Harris Brisbane Dick and Fletcher Funds, Joseph Pulitzer Bequest, and Lila Acheson Wallace Gift, 1987 ;;Accession Number: 1987.218.5;;Description:;;After reaching enlightenment at Bodhgaya, Shakyamuni meditated and fasted for forty-nine days. Thus, showing him as an emaciated renouncer relates to his enlightenment and his status as a yogic ascetic who has ultimate control over his body. Other characteristics that relate to his enlightenment include the kusha grass on which he sits and the scene on the base, which shows the Buddha's first sermon, at Sarnath.;;;Text from: <a href=http://www.metmuseum.org/Collections/search-the-collections/60005063 rel=nofollow>www.metmuseum.org/Collections/search-the-collections/6000...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: asian,ElissaSCA: buddha,ElissaSCA: sculpture,ElissaSCA: statue,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,DescriptionInDesc,Description,AccessionInDesc,3D,Artwork"
SET 07,6945716966.jpg,1975.1.159,HouseBehindTheTrees_TheMET(4),rverc,"Georges Braque;French, 1882-1963;<b><i> House Behind the Trees </i></b>;;Robert Lehman Collection, 1975;1975.1.159;;From the placard: Metropolitan Museum of Art;;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: europeanpainting,rverc: georgesbraque,rverc: met,Description,AccessionInDesc,2D,Artwork"
SET 07,6945759106.jpg,34.92,The Champion Single Sculls _TheMET(9),rverc,"[This photograph was Identify the Painter(25)];.;Thomas Eakins ;(1844-1916);;Detail from: <b><i> The Champion Single Sculls (Max Schmitt in a Single Scull)</i></b>;1871;Oil on canvas;Returning to Philadelphia from Europe in 1870, Eakins began a series of representations of the sport of sculling, a subject with which he is uniquely identified. This, the first major work in the series, probably commemorates the victory of Max Schmitt (1843-1900), an attorney and skilled amateur rower, in an important race held on the Schuylkill River in October 1870. Also an avid rower, Eakins depicted himself pulling oars of a scull in the middle distance. Eakins constructed the painting according to the academic principles espoused by his primary Parisian teacher, Jean-Leon Gerome.;;Purchase, The Alfred N. Punnett Endowment Fund and George D. Pratt Gift, 1934;34.92;;From the placard: Metropolitan Museum of Art;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,Description,AccessionInDesc,2D,Artwork"
SET 07,6946978774.jpg,34.92,The Champion Single Sculls _TheMET(4),rverc,"Thomas Eakins ;(1844-1916);;<b><i> The Champion Single Sculls (Max Schmitt in a Single Scull)</i></b>;1871;Oil on canvas;Returning to Philadelphia from Europe in 1870, Eakins began a series of representations of the sport of sculling, a subject with which he is uniquely identified. This, the first major work in the series, probably commemorates the victory of Max Schmitt (1843-1900), an attorney and skilled amateur rower, in an important race held on the Schuylkill River in October 1870. Also an avid rower, Eakins depicted himself pulling oars of a scull in the middle distance. Eakins constructed the painting according to the academic principles espoused by his primary Parisian teacher, Jean-Leon Gerome.;;Purchase, The Alfred N. Punnett Endowment Fund and George D. Pratt Gift, 1934;34.92;;From the placard: Metropolitan Museum of Art;  addl accession","NA,Description,AccessionInDesc,2D,Artwork"
SET 07,6946981668.jpg,64.315,StillLifeWithSilver_TheMET(7),rverc,"[This photograph was Identify the Painter(26)];;Alexandre Franois Desportes;French, Champigneul 1661-1743 Paris;;Detail from <b><i> Still Life with Silver </i></b>;Oil on canvas;Signed (lower right): Desportes;Trained as a painter of animals and favored by both Louis XIV (1638-1715) and Louis XV (1710-1774), Desportes achieved fame not only for his hunting scenes but also for his opulent still lifes. This picture, possibly painted in the late 1720s, belongs to a type showing a buffet laden with an array of objects in silver, porcelain, and semi-precious stone as well as fruitsuch as might have been displayed for a banquet. The objects are likely to record actual pieces owned by the patron: the dragon-handled tureen and vermeil salvers are in the Regence style (ca. 1715-23).;The corners of the picture were cut, probably so that the canvas could be set into wood paneling; the current corners are modern.;Purchase, Mary Wetmore Shively Bequest, in memory of her husband, Henry L. Shively, M.D., 1964;64.315;;;From the placard: Metropolitan Museum of Art;;.;.;<a href=http://bighugelabs.com/onblack.php?id=6946981668&amp;bg=white&amp;size=large rel=nofollow>View On White</a>  addl accession","NA,Description,AccessionInDesc,2D,Artwork"
SET 07,6951510054.jpg,64.315,StillLifeWithSilver_TheMET(5),rverc,"Alexandre Franois Desportes;French, Champigneul 1661-1743 Paris;;<b><i> Still Life with Silver </i></b>;Oil on canvas;Signed (lower right): Desportes;Trained as a painter of animals and favored by both Louis XIV (1638-1715) and Louis XV (1710-1774), Desportes achieved fame not only for his hunting scenes but also for his opulent still lifes. This picture, possibly painted in the late 1720s, belongs to a type showing a buffet laden with an array of objects in silver, porcelain, and semi-precious stone as well as fruitsuch as might have been displayed for a banquet. The objects are likely to record actual pieces owned by the patron: the dragon-handled tureen and vermeil salvers are in the Regence style (ca. 1715-23).;The corners of the picture were cut, probably so that the canvas could be set into wood paneling; the current corners are modern.;Purchase, Mary Wetmore Shively Bequest, in memory of her husband, Henry L. Shively, M.D., 1964;64.315;;;From the placard: Metropolitan Museum of Art;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,rverc: europeanpaintings,Description,AccessionInDesc,2D,Artwork"
SET 07,6951518634.jpg,64.315,StillLifeWithSilver_TheMET(17),rverc,"Alexandre Franois Desportes;French, Champigneul 1661-1743 Paris;;Detail from: <b><i> Still Life with Silver </i></b>;Oil on canvas;Signed (lower right): Desportes;Trained as a painter of animals and favored by both Louis XIV (1638-1715) and Louis XV (1710-1774), Desportes achieved fame not only for his hunting scenes but also for his opulent still lifes. This picture, possibly painted in the late 1720s, belongs to a type showing a buffet laden with an array of objects in silver, porcelain, and semi-precious stone as well as fruitsuch as might have been displayed for a banquet. The objects are likely to record actual pieces owned by the patron: the dragon-handled tureen and vermeil salvers are in the Regence style (ca. 1715-23).;The corners of the picture were cut, probably so that the canvas could be set into wood paneling; the current corners are modern.;Purchase, Mary Wetmore Shively Bequest, in memory of her husband, Henry L. Shively, M.D., 1964;64.315;;;From the placard: Metropolitan Museum of Art;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,rverc: europeanpaintings,Description,AccessionInDesc,2D,Artwork"
SET 07,6953699028.jpg,7.68,CornHuskingAtNantucket_TheMET(8),rverc,"[This photograph was Identify the Painter (28) ] ;.;Eastman Johnson;(1824-1906);Detail from: <b><i> Corn Husking at Nantucket </i></b> Ca. 1875;Oil on canvas;This picture was probably Johnsons final study for a large painting of 1876, now in the Art Institute of Chicago. As urbanization and industrialization increased in the late nineteenth century, both European and American painters celebrated preindustrial labor, often featuring indigenous crops in historically resonant regions. Johnson, for example, painted sev eral series of works highlighting maple sugaring, cranberry picking, and corn husking in New England. Especially evident in this canvas is the residue of Johnsons studies in France with Thomas Couture, who valued the freshness of the sketch, even in completed canvases.;Rogers Fund, 1907;07.68;;From the placard: Metropolitan Museum of Art;  addl accession","rverc: metropolitanmuseum,rverc: art,rverc: nyc,rverc: met,Description,AccessionInDesc,2D,Artwork"
